Taxon,COI,Source
G. fossarum,KR061823,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061824,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061820,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061821,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061822,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061819,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061781,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061782,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061783,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061817,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061818,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061813,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061814,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061826,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061825,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061812,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061802,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061803,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061804,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061776,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061777,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061838,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061839,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061785,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061786,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061787,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061792,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061793,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061794,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061831,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061832,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061830,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061840,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061841,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061784,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061795,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061796,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061778,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061779,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061780,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061789,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061790,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061791,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061805,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061806,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061807,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061810,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061811,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061808,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061809,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061815,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061816,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061843,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061844,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061845,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061827,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061828,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061829,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061833,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061834,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061835,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061836,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061837,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061842,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061846,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061847,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061797,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061798,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061799,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061800,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061801,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KR061788,Copilas-Ciocianu & Petrusek (2015)
G. fossarum,KF521833,Weiss et al. (2013)
G. fossarum,KF521834,Weiss et al. (2013)
G. fossarum,KF521835,Weiss et al. (2013)
G. fossarum,KF521832,Weiss et al. (2013)
G. fossarum,KF521831,Weiss et al. (2013)
G. fossarum,KF521830,Weiss et al. (2013)
G. fossarum,KF521829,Weiss et al. (2013)
G. fossarum,KF521828,Weiss et al. (2013)
G. fossarum,KF521827,Weiss et al. (2013)
G. fossarum,KF521822,Weiss et al. (2013)
G. fossarum,KF521821,Weiss et al. (2013)
G. fossarum,KF521820,Weiss et al. (2013)
G. fossarum,KF521806,Weiss et al. (2013)
G. fossarum,KF521805,Weiss et al. (2013)
G. fossarum,KF521804,Weiss et al. (2013)
G. fossarum,KF521803,Weiss et al. (2013)
G. fossarum,KF521802,Weiss et al. (2013)
G.balcanicus,JF965914,Hou et al. (2011)
G. roeselii,JF965952,Hou et al. (2011)
G. glabratus ,EF570307,Hou et al. 2009
G. tigrinus ,FJ581688,Radulovici et al. (2009)
G. pulex,JF965942,Hou et al. (2011)
G. pulex,EF570334,Hou et al. (2007)
G. pulex,JF965940,Hou et al. (2011)
G. pulex,JF965941,Hou et al. (2011)
G. pulex,JF965939,Hou et al. (2011)
G. pulex,JF965943,Hou et al. (2011)
